group_id,model_variant,n_nodes,top_gene_sets,top_pathways,top_go_terms,summary
A0,GNN text-only,464,"GSE230450,GSE230520-2-vs-0-human up; GSE157785-0-vs-11-human dn; GSE133112-2-vs-1-human up; GSE180455-0-vs-5-human up; GSE117911-3-vs-5-human dn",Transcriptional regulation by RUNX3; Developmental Lineage of Pancreatic Ductal Cells; Regulation of CDH1 Function; Axon guidance; Degradation of the extracellular matrix; Nervous system development; PCP/CE pathway; Degradation of CDH1; Extracellular matrix organization; p53-Dependent G1 DNA Damage Response,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Programmed Cell Death; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Population Proliferation; Negative Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Negative Regulation Of Cellular Process; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Transcription By RNA Polymerase II,"The cluster of gene sets is primarily related to the development and function of the nervous system. Many of the gene sets are associated with neurodegenerative diseases, such as frontotemporal dementia, or with the growth and differentiation of cells in the nervous system."
A1,GNN text-only,499,"GSE163726-3-vs-4-human dn; GSE228991-3-vs-6-human up; GSE223548-5-vs-6-human up; GSE135640-2-vs-9-human dn; GSE201742,GSE201744-6-vs-3-human up",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Transcriptional regulation by RUNX3; Degradation of the extracellular matrix; Extracellular matrix organization; Signaling by ALK in cancer; Nervous system development; Signaling by ALK fusions and activated point mutants; Collagen degradation; Axon guidance,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Migration; Positive Regulation Of Intracellular Signal Transduction; Negative Regulation Of Apoptotic Process; Negative Regulation Of Cellular Process; Negative Regulation Of Programmed Cell Death; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Motility,The gene sets in this cluster are primarily associated with the development and function of the nervous system.
A2,GNN text-only,410,"GSE137270,GSE160583-3-vs-6-human dn; GSE109143-2-vs-3-human dn; GSE218585-5-vs-9-human up; GSE223806,GSE223809-2-vs-4-human up; GSE154577-10-vs-12-human up",Metabolism of proteins; Metabolism of RNA; Translation; rRNA processing; FASTK family proteins regulate processing and stability of mitochondrial RNAs; tRNA processing in the mitochondrion; Signal Transduction; Mitochondrial RNA degradation; Cellular responses to stimuli; Mitochondrial translation,Macromolecule Biosynthetic Process; Peptide Biosynthetic Process; Translation; Cytoplasmic Translation; Gene Expression; Positive Regulation Of Cellular Biosynthetic Process; Ribonucleoprotein Complex Biogenesis; Ribosome Biogenesis; protein-RNA Complex Assembly; Ribosomal Small Subunit Biogenesis,"The gene set cluster is characterized by its strong association with the translation process and the metabolism of proteins and RNA. These gene sets are predominantly involved in the synthesis and processing of macromolecules within cells, with a particular emphasis on the cytoplasmic translation of proteins."
A3,GNN text-only,423,GSE234397-2-vs-1-human up; GSE152517-4-vs-11-human up; GSE53635-2-vs-3-human up; GSE158144-6-vs-5-human up; GSE163556-1-vs-0-human dn,Axon guidance; Nervous system development; Cellular responses to stimuli; Transcriptional regulation by RUNX3; Regulation of CDH1 Function; Assembly of the pre-replicative complex; PCP/CE pathway; Cellular responses to stress; Cell Cycle Checkpoints; Signaling by ALK fusions and activated point mutants,Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Negative Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Regulation Of Translation; Ribonucleoprotein Complex Biogenesis; Ribosome Biogenesis; Positive Regulation Of Cell Population Proliferation,The cluster of gene sets is primarily related to the development and function of the nervous system.
A4,GNN text-only,344,"GSE255896-7-vs-6-human up; GSE148234-0-vs-2-human up; GSE199349-2-vs-12-human dn; GSE131473-2-vs-4-human up; GSE128634,GSE128636-4-vs-3-human up",Transcriptional regulation by RUNX3; Axon guidance; Nervous system development; Developmental Lineage of Pancreatic Ductal Cells; Signaling by ALK fusions and activated point mutants; Signaling by ALK in cancer; Extracellular matrix organization; NF-kB is activated and signals survival; p75NTR signals via NF-kB; Degradation of the extracellular matrix,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Cell Population Proliferation; Positive Regulation Of Transcription By RNA Polymerase II; Positive Regulation Of Cell Motility; Positive Regulation Of Apoptotic Process,"The gene set cluster is characterized by its association with cellular responses to treatment and regulation of transcription by RNA polymerase II. The gene sets primarily represent conditions related to head and neck squamous cell carcinoma (HNSCC) and its sensitivity to ionizing radiation, as well as CD8+ T cells memory subsets, medulloblastoma molecular subgroups, and developmental lineage of pancreatic ductal cells."
A5,GNN text-only,407,GSE158144-13-vs-5-human up; GSE213142-5-vs-0-human dn; GSE79888-3-vs-4-human up; GSE130534-9-vs-10-human up; GSE132913-4-vs-3-human dn,Cellular responses to stimuli; rRNA processing; Cellular responses to stress; Translation; Axon guidance; Nervous system development; Metabolism of RNA; Regulation of expression of SLITs and ROBOs; Metabolism of proteins; Response of EIF2AK4 (GCN2) to amino acid deficiency,Regulation Of Apoptotic Process; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Negative Regulation Of Apoptotic Process; Translation; Gene Expression; Macromolecule Biosynthetic Process; Cytoplasmic Translation; Negative Regulation Of Programmed Cell Death,"The gene sets in this cluster are primarily related to the regulation of apoptotic process, which is the programmed cell death mechanism. This includes positive and negative regulation of apoptotic process, as well as other related cellular processes such as translation, gene expression, and cell population proliferation."
A6,GNN text-only,498,"GSE78102,GSE78110-2-vs-4-human dn; GSE247721,GSE247722-4-vs-6-human up; GSE152714-5-vs-6-human dn; GSE132624-5-vs-10-human dn; GSE131249-3-vs-4-human up",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Myoepithelial Cells; Nervous system development; Axon guidance; Degradation of the extracellular matrix; Extracellular matrix organization; Transcriptional regulation by RUNX3; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Integrin cell surface interactions; Interleukin-4 and Interleukin-13 signaling,Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Positive Regulation Of Cell Motility; Positive Regulation Of Cell Population Proliferation; Negative Regulation Of Cell Population Proliferation; Regulation Of Intracellular Signal Transduction; Positive Regulation Of Cell Differentiation,"The cluster of gene sets is primarily related to the development and function of the nervous system, with a focus on axon guidance and nervous system development."
A7,GNN text-only,474,"GSE174745-1-vs-6-human dn; GSE174745-1-vs-4-human dn; GSE184875,GSE184877-3-vs-6-human dn; GSE186459-4-vs-6-human dn; GSE131300-5-vs-2-human dn",Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Myoepithelial Cells; Nervous system development; Axon guidance; Non-integrin membrane-ECM interactions; Degradation of the extracellular matrix; Regulation of PD-L1(CD274) transcription; Senescence-Associated Secretory Phenotype (SASP); ECM proteoglycans; Developmental Cell Lineages of the Exocrine Pancreas,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Macromolecule Biosynthetic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Translation; Gene Expression,"The gene sets in this cluster are primarily related to the immune response to SARS-CoV-2 infection in midbrain dopamine neurons, with implications for inflammatory and cellular senescence responses."
A8,GNN text-only,261,"GSE58608,GSE60591-1-vs-6-human up; GSE149541,GSE149543-2-vs-3-human up; GSE61476-1-vs-2-human dn; GSE244307-1-vs-3-human dn; GSE109635-2-vs-1-human up",Translation; Major pathway of rRNA processing in the nucleolus and cytosol; rRNA processing in the nucleus and cytosol; rRNA processing; Metabolism of RNA; Metabolism of proteins; Translation initiation complex formation; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; L13a-mediated translational silencing of Ceruloplasmin expression,Histone Lysine Demethylation; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly; Postsynapse Assembly; Presynaptic Membrane Organization; Presynapse Organization; Sequestering Of Actin Monomers; Regulation Of Actin Filament Length; Neuron Cell-Cell Adhesion; Presynapse Assembly,"The gene sets in this cluster are primarily related to the metabolism of RNA and proteins, with a focus on the translation process. This includes the formation of translation initiation complexes, the metabolism of rRNA and mRNA, and the regulation of protein synthesis. These processes are crucial for the production and function of proteins, which are essential for various cellular activities."
A9,GNN text-only,518,GSE187784-15-vs-11-human dn; GSE185192-9-vs-2-human up; GSE85443-7-vs-6-human dn; GSE133527-2-vs-0-human dn; GSE149353-6-vs-9-human up,Axon guidance; Nervous system development; Transcriptional regulation by RUNX3; Cellular responses to stimuli; Degradation of the extracellular matrix; Non-integrin membrane-ECM interactions; Cellular responses to stress; Extracellular matrix organization; Developmental Lineage of Pancreatic Ductal Cells; Fibronectin matrix formation,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Gene Expression; Regulation Of Cell Population Proliferation; Translation; Ribosome Biogenesis,"The gene set cluster is characterized by its role in the development and function of the nervous system. The shared pathways and processes involve axon guidance, nervous system development, transcriptional regulation, cellular responses to stimuli, and degradation of the extracellular matrix. These are crucial for the proper formation and maintenance of neural structures, which are essential for various cognitive and physiological functions."
B0,GNN-beta structlite,514,"GSE174809,GSE176065-11-vs-13-human up; GSE156603-0-vs-2-human dn; GSE132447-11-vs-8-human dn; GSE140520-5-vs-13-human dn; GSE135640-6-vs-8-human dn",Transcriptional regulation by RUNX3; Developmental Lineage of Pancreatic Ductal Cells; Nervous system development; Axon guidance; Degradation of the extracellular matrix; RAC3 GTPase cycle; Extracellular matrix organization; Developmental Lineage of Mammary Gland Myoepithelial Cells; Fibronectin matrix formation; Collagen degradation,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Cell Motility; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Negative Regulation Of Cellular Process; Negative Regulation Of Programmed Cell Death,"The gene sets in this cluster are primarily related to the regulation of cell migration, proliferation, and apoptosis. These processes are crucial for various developmental and pathological contexts."
B1,GNN-beta structlite,274,GSE231324-2-vs-0-human dn; GSE164471-0-vs-11-human up; GSE150341-3-vs-4-human dn; GSE109635-2-vs-1-human up; GSE211566-0-vs-1-human up,Metabolism of proteins; rRNA processing; Metabolism of RNA; Translation; Cellular responses to stimuli; Cellular responses to stress; Metabolism; Disease; Infectious disease; Developmental Biology,Histone Lysine Demethylation; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly; Postsynapse Assembly; Presynaptic Membrane Organization; Sequestering Of Actin Monomers; Regulation Of Actin Filament Length; Macromolecule Biosynthetic Process; Presynapse Organization; Peptide Biosynthetic Process,"The cluster of gene sets is primarily related to the cellular response to stress and metabolism of proteins. These gene sets are derived from various contexts such as healthy muscle cell cultures treated with hormones, skeletal muscle samples, and studies on fetal hemoglobin regulation and immune response to mycobacterial antigens. The common theme is the cell's response to stress and its impact on protein metabolism."
B2,GNN-beta structlite,493,GSE210178-3-vs-1-human up; GSE73721-3-vs-8-human up; GSE210178-4-vs-2-human up; GSE108464-10-vs-14-human up; GSE135640-0-vs-7-human dn,Nervous system development; Axon guidance; Non-integrin membrane-ECM interactions; ECM proteoglycans; Developmental Lineage of Pancreatic Ductal Cells; Degradation of the extracellular matrix; Collagen degradation; Extracellular matrix organization; Syndecan interactions; Integrin cell surface interactions,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Intracellular Signal Transduction; Negative Regulation Of Programmed Cell Death; Positive Regulation Of Cell Motility; Positive Regulation Of Transcription By RNA Polymerase II,The cluster of gene sets is primarily related to the regulation of cell migration and apoptosis.
B3,GNN-beta structlite,818,GSE64098-3-vs-6-human dn; GSE176520-2-vs-5-human dn; GSE205813-0-vs-7-human dn; GSE119606-0-vs-4-human up; GSE175975-3-vs-5-human dn,Transcriptional regulation by RUNX3; Axon guidance; Nervous system development; Signaling by ALK fusions and activated point mutants; Signaling by ALK in cancer; Cellular responses to stimuli; Cellular responses to stress; Developmental Lineage of Pancreatic Ductal Cells; Cell Cycle Checkpoints; Regulation of CDH1 Function,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Programmed Cell Death; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Apoptotic Process; Regulation Of Translation; Positive Regulation Of Cell Migration,"The gene sets in this cluster are primarily related to cancer, with a focus on the molecular mechanisms of cell proliferation, signal transduction, and apoptosis."
B4,GNN-beta structlite,408,"GSE175975-0-vs-4-human dn; GSE229066,GSE229071-8-vs-1-human up; GSE206391-1-vs-7-human up; GSE167409-1-vs-2-human dn; GSE242002,GSE242003-3-vs-0-human dn",Immune System; Developmental Biology; Cellular responses to stimuli; Metabolism of proteins; Cytokine Signaling in Immune system; Cellular responses to stress; Signal Transduction; Nervous system development; Axon guidance; Infectious disease,Cellular Response To Cytokine Stimulus; Positive Regulation Of Intracellular Signal Transduction; Cytokine-Mediated Signaling Pathway; Apoptotic Process; Regulation Of Cell Population Proliferation; Regulation Of Apoptotic Process; Positive Regulation Of Cytokine Production; Regulation Of Tumor Necrosis Factor Production; Response To Cytokine; Positive Regulation Of Type I Interferon Production,"The gene sets in this cluster are primarily related to immune responses and cytokine signaling. These genes are involved in the body's response to various stimuli, including stress, cytokines, and the regulation of cell proliferation and apoptosis."
B5,GNN-beta structlite,440,GSE163726-3-vs-4-human dn; GSE158374-0-vs-3-human up; GSE86064-7-vs-13-human up; GSE111786-3-vs-6-human dn; GSE140997-2-vs-1-human up,"Senescence-Associated Secretory Phenotype (SASP); Regulation of PD-L1(CD274) transcription; Developmental Lineage of Pancreatic Ductal Cells; IKK complex recruitment mediated by RIP1; TICAM1, RIP1-mediated IKK complex recruitment; Amyloid fiber formation; Assembly of the pre-replicative complex; Transcriptional regulation of granulopoiesis; Regulation of endogenous retroelements by KRAB-ZFP proteins; Signaling by ALK fusions and activated point mutants",Regulation Of Apoptotic Process; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Translation; Positive Regulation Of Intracellular Signal Transduction; Gene Expression; Negative Regulation Of Programmed Cell Death; Cytoplasmic Translation; Positive Regulation Of DNA-templated Transcription; Macromolecule Biosynthetic Process,"The gene sets in this cluster are primarily associated with the biological process of translation. Translation is the process by which ribosomes synthesize proteins from mRNA. This process is crucial for the production of proteins necessary for various cellular functions. The cluster includes gene sets related to the regulation of translation, the components involved in translation, and the effects of modifications on translation."
B6,GNN-beta structlite,207,"GSE137270,GSE160583-3-vs-6-human dn; GSE80062-0-vs-1-human up; GSE109143-2-vs-3-human dn; GSE113655-0-vs-6-human dn; GSE128189-3-vs-0-human dn",Metabolism of proteins; Metabolism of RNA; Translation; rRNA processing; Cellular responses to stimuli; Cellular responses to stress; Metabolism; tRNA processing; FASTK family proteins regulate processing and stability of mitochondrial RNAs; Mitochondrial RNA degradation,Peptide Biosynthetic Process; Macromolecule Biosynthetic Process; Translation; Gene Expression; Cytoplasmic Translation; Positive Regulation By Host Of Viral Process; Modulation By Host Of Viral Genome Replication; Positive Regulation Of Cellular Biosynthetic Process; Regulation Of Chaperone-Mediated Autophagy; Cellular Response To Epidermal Growth Factor Stimulus,"The gene set cluster is characterized by its strong association with the translation process, particularly in the context of protein biosynthesis and RNA metabolism. Gene sets within this cluster are primarily related to cellular responses to stress and stimuli, as well as the regulation of cellular biosynthetic processes. This suggests that the cluster is involved in the cellular response to external factors and the maintenance of cellular homeostasis."
B7,GNN-beta structlite,768,"GSE230450,GSE230520-2-vs-0-human up; GSE80963-3-vs-10-human up; GSE97440,GSE97442-0-vs-1-human dn; GSE151073,GSE151095-2-vs-10-human dn; GSE122791,GSE122794-3-vs-4-human up",Axon guidance; Nervous system development; Transcriptional regulation by RUNX3; PCP/CE pathway; Regulation of CDH1 Function; Developmental Lineage of Pancreatic Ductal Cells; Assembly of the pre-replicative complex; Degradation of CDH1; Degradation of the extracellular matrix; Cellular responses to stimuli,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Negative Regulation Of Programmed Cell Death; Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Cell Motility; Negative Regulation Of Cellular Process,"The cluster of gene sets is primarily related to the biology of frontotemporal dementia (FTD), a group of incurable early-onset dementias characterized by the deposition of hyperphosphorylated tau in patient brains. The analysis of single-cell data from FTD patient brains reveals key molecular mechanisms involved in neurodegeneration and potential therapeutic targets."
B8,GNN-beta structlite,35,"GSE150283-9-vs-5-human up; GSE66207,GSE66209-2-vs-7-human dn; GSE163122-1-vs-5-human dn; GSE210351-6-vs-8-human up; GSE161952-4-vs-0-human up","rRNA processing; Translation; Metabolism of RNA; Metabolism of proteins; Metabolism; Cellular responses to stress; Cellular responses to stimuli; Formation of the ternary complex, and subsequently, the 43S complex; Translation initiation complex formation; Ribosomal scanning and start codon recognition",Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway; Regulation Of Androgen Receptor Signaling Pathway; Histone Lysine Demethylation; Sequestering Of Actin Monomers; Regulation Of Actin Filament Length; Regulation Of Actin Filament Organization; Negative Regulation Of Actin Filament Polymerization; Regulation Of Actin Polymerization Or Depolymerization; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly,"The gene sets in this cluster are primarily related to cancer, specifically high-grade serous carcinomas, and their likely origin in the distal region of the Fallopian tube's epithelium before metastasizing to the ovary. Molecular mechanisms promoting malignancy in this context are not well understood due to limited primary human tissue gene expression data available."
B9,GNN-beta structlite,341,GSE224063-4-vs-2-human dn; GSE56796-4-vs-5-human dn; GSE64962-0-vs-3-human up; GSE109313-3-vs-1-human dn; GSE156603-2-vs-4-human dn,Developmental Lineage of Pancreatic Ductal Cells; Developmental Lineage of Mammary Gland Myoepithelial Cells; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Degradation of the extracellular matrix; TP53 Regulates Transcription of Cell Cycle Genes; Interleukin-4 and Interleukin-13 signaling; Transcriptional regulation by RUNX3; Developmental Lineages of the Mammary Gland; Transcriptional regulation of granulopoiesis; Syndecan interactions,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Negative Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Motility; Negative Regulation Of Cellular Process,"The gene sets in this cluster are primarily related to the development and function of the mammary gland, particularly focusing on the lineage of mammary gland luminal epithelial cells."
